60,60,60,23,50,50,11,60,23,50,50,50,50,50
60,10,60,51,60,60,60,60,12,60,60,60,60,60
60,51,60,51,60,13,23,60,60,60,60,10,60,60
60,51,60,12,60,60,30,50,50,11,60,51,60,60
60,51,60,60,60,13,32,60,60,60,60,51,60,60
60,22,50,23,60,60,12,60,60,60,60,21,11,60
60,60,60,51,60,60,60,60,10,60,60,60,60,60
50,11,60,51,60,60,60,13,40,11,60,22,11,60
60,60,60,51,60,60,60,60,51,60,60,12,60,60
60,10,60,51,60,22,23,60,12,60,10,60,60,60
60,51,60,12,60,21,32,60,60,60,51,60,22,11
60,51,60,60,60,60,51,60,13,50,21,60,51,60
60,51,60,60,60,60,12,60,60,60,60,60,12,60
60,22,11,60,60,60,60,60,13,11,60,60,60,60
